customer_id,balance,interest_rate,default_rate,acquisition_cost,revenue,loss,net_profit,bank_name
108,52618.67,0.2919,0.0732,4991.41,15359.39,3851.69,6516.29,Axis
109,53863.26,0.2678,0.045,5709.26,14424.58,2423.85,6291.47,SBI
110,48883.31,0.3424,0.0413,4212.33,16737.65,2018.88,10506.44,SBI
111,21218.43,0.3262,0.0633,3790.57,6921.45,1343.13,1787.75,HDFC
112,49602.29,0.2981,0.0596,5871.79,14786.44,2956.3,5958.35,SBI
113,50903.45,0.318,0.033,3856.52,16187.3,1679.81,10650.97,Kotak
114,86948.63,0.3397,0.0172,4565.3,29536.45,1495.52,23475.63,SBI
115,47114.59,0.2636,0.0285,3492.25,12419.41,1342.77,7584.39,HDFC
116,54523.21,0.275,0.0192,4545.3,14993.88,1046.85,9401.73,Kotak
117,49479.32,0.3043,0.0306,4880.4,15056.56,1514.07,8662.09,ICICI
118,32469.83,0.3299,0.0283,4498.62,10711.8,918.9,5294.28,SBI
119,67142.34,0.2536,0.0546,4058.25,17027.3,3665.97,9303.08,HDFC
120,61279,0.3484,0.0768,3200.44,21349.6,4706.23,13442.93,ICICI
121,61865.48,0.2955,0.058,4575.38,18281.25,3588.2,10117.67,ICICI
122,36359.19,0.2859,0.0749,5633.72,10395.09,2723.3,2038.07,Axis
123,71041.91,0.2793,0.0649,2027.65,19842.01,4610.62,13203.74,Kotak
124,28972.23,0.2674,0.061,2535.72,7747.17,1767.31,3444.14,SBI
125,58802.86,0.3292,0.039,2479.09,19357.9,2293.31,14585.5,HDFC
126,82856.83,0.3455,0.0327,5692.82,28627.03,2709.42,20224.79,Axis
127,35141.96,0.2914,0.0692,4650.99,10240.37,2431.82,3157.56,Kotak
128,41505.53,0.3452,0.0734,5807.15,14327.71,3046.51,5474.05,Axis
129,51494.77,0.3324,0.0416,4331.25,17116.86,2142.18,10643.43,Kotak
130,42447.87,0.2981,0.0106,3846.93,12653.71,449.95,8356.83,Kotak
131,26740.05,0.3174,0.0655,5169.37,8487.29,1751.47,1566.45,SBI
132,51028.44,0.2935,0.03,2643.77,14976.85,1530.85,10802.23,Kotak
133,34065.44,0.3059,0.0107,3525.35,10420.62,364.5,6530.77,Axis
134,57103.89,0.2558,0.0663,3865.1,14607.18,3785.99,6956.09,Kotak
135,36208.64,0.3196,0.0462,3193.83,11572.28,1672.84,6705.61,SBI
136,73249.02,0.2553,0.058,3485.14,18700.47,4248.44,10966.89,SBI
137,38251.2,0.3317,0.074,2312.42,12687.92,2830.59,7544.91,Axis
138,45169.08,0.3325,0.0479,2791.93,15018.72,2163.6,10063.19,ICICI
139,62202.76,0.2737,0.0452,3341.99,17024.9,2811.56,10871.35,ICICI
140,31537.04,0.2824,0.0303,5183.56,8906.06,955.57,2766.93,Kotak
141,53411.9,0.2981,0.0314,2729.99,15922.09,1677.13,11514.97,HDFC
142,69607.14,0.3097,0.0658,3386.56,21557.33,4580.15,13590.62,Kotak
143,25887.75,0.2787,0.0414,2259.68,7214.92,1071.75,3883.49,Axis
144,52769.51,0.3092,0.0214,4228.42,16316.33,1129.27,10958.64,Axis
145,53898.24,0.2798,0.0166,4445,15080.73,894.71,9741.02,Axis
146,61727.34,0.2555,0.0431,5462.07,15771.34,2660.45,7648.82,Axis
147,31445.74,0.2503,0.0425,5276.46,7870.87,1336.44,1257.97,Axis
148,30193.15,0.2601,0.0557,3141.51,7853.24,1681.76,3029.97,SBI
149,57829.12,0.3292,0.043,2547.81,19037.35,2486.65,14002.89,ICICI
150,54454.77,0.3461,0.02,2624.33,18846.8,1089.1,15133.37,Axis
151,53757.39,0.2927,0.0455,5875.86,15734.79,2445.96,7412.97,HDFC
152,55196.72,0.3013,0.0735,4692.9,16630.77,4056.96,7880.91,HDFC
153,39799.63,0.2647,0.0212,2170.28,10534.96,843.75,7520.93,HDFC
154,53483.81,0.3051,0.0583,2547.12,16317.91,3118.11,10652.68,HDFC
155,54396.09,0.2645,0.0516,3943.2,14387.77,2806.84,7637.73,SBI
156,39284.73,0.3111,0.0624,2831.32,12221.48,2451.37,6938.79,HDFC
157,77986.62,0.3433,0.0205,5214.64,26772.81,1598.73,19959.44,Axis
158,57107.49,0.2696,0.0759,4292.87,15396.18,4334.46,6768.85,Kotak
159,32130.45,0.3265,0.0535,4450.53,10490.59,1718.98,4321.08,HDFC
160,59848.3,0.2524,0.0693,3851.3,15105.71,4147.49,7106.92,SBI
161,35379.77,0.2875,0.0273,3024.25,10171.68,965.87,6181.56,SBI
162,61806.27,0.2611,0.0618,4357.61,16137.62,3819.63,7960.38,HDFC
163,67378.93,0.2852,0.0647,4867.88,19216.47,4359.42,9989.17,Kotak
164,37689.77,0.2674,0.0378,3483.79,10078.24,1424.67,5169.78,HDFC
165,64450.64,0.2873,0.0369,4019.77,18516.67,2378.23,12118.67,SBI
166,56191.71,0.2918,0.056,5358.74,16396.74,3146.74,7891.26,ICICI
167,62330.9,0.2801,0.0165,2594.73,17458.89,1028.46,13835.7,Axis
168,78451.89,0.3157,0.0615,4180.9,24767.26,4824.79,15761.57,SBI
169,46319.18,0.3419,0.013,3393.65,15836.53,602.15,11840.73,HDFC
170,38693.96,0.2901,0.0233,4811.18,11225.12,901.57,5512.37,Axis
171,36657.28,0.2692,0.0565,2075.24,9868.14,2071.14,5721.76,HDFC
172,37762.85,0.2771,0.0169,4681.89,10464.09,638.19,5144.01,HDFC
173,48843.47,0.3354,0.078,2411.59,16382.1,3809.79,10160.72,ICICI
174,55117.28,0.3072,0.0708,2259.07,16932.03,3902.3,10770.66,Axis
175,54150.36,0.2955,0.0538,4898.49,16001.43,2913.29,8189.65,Axis
176,62407.75,0.265,0.0673,4561.37,16538.05,4200.04,7776.64,ICICI
177,50195.03,0.295,0.0721,5579.74,14807.53,3619.06,5608.73,SBI
178,71803.01,0.2778,0.0282,4078.62,19946.88,2024.84,13843.42,HDFC
179,46030.15,0.3443,0.0695,4120.1,15848.18,3199.1,8528.98,Kotak
180,90802.54,0.3384,0.0236,4828.07,30727.58,2142.94,23756.57,HDFC
181,59385.01,0.2584,0.0389,3293.59,15345.09,2310.08,9741.42,HDFC
182,37142.64,0.3017,0.0491,2147.65,11205.93,1823.7,7234.58,SBI
183,33936.61,0.2725,0.06,2920.18,9247.73,2036.2,4291.35,HDFC
184,57237.09,0.2911,0.0121,2952.05,16661.72,692.57,13017.1,ICICI
185,46648.06,0.3377,0.0303,3342.64,15753.05,1413.44,10996.97,ICICI
186,60710.01,0.3028,0.0526,5773.85,18382.99,3193.35,9415.79,Axis
187,57098.56,0.2834,0.035,5219.37,16181.73,1998.45,8963.91,Kotak
188,48907.57,0.2708,0.0643,5743.82,13244.17,3144.76,4355.59,HDFC
189,37298.09,0.33,0.0556,5994.44,12308.37,2073.77,4240.16,HDFC
190,27277.29,0.3125,0.0264,3735.12,8524.15,720.12,4068.91,SBI
191,43302.28,0.2968,0.0202,2908.29,12852.12,874.71,9069.12,ICICI
192,62845.98,0.2717,0.054,4240.02,17075.25,3393.68,9441.55,Kotak
193,53211.41,0.2834,0.0415,5524.54,15080.11,2208.27,7347.3,Axis
194,31313.92,0.346,0.0218,3862.93,10834.62,682.64,6289.05,ICICI
195,52597.71,0.302,0.0328,4021.6,15884.51,1725.2,10137.71,Axis
196,55779.76,0.2901,0.0312,2537.76,16181.71,1740.33,11903.62,SBI
197,36742.14,0.3021,0.0176,3681.82,11099.8,646.66,6771.32,SBI
198,52305.88,0.3279,0.0483,3547.98,17151.1,2526.37,11076.75,HDFC
199,50873.13,0.284,0.0635,3406.75,14447.97,3230.44,7810.78,Kotak
200,32855.45,0.2679,0.0503,5549.19,8801.98,1652.63,1600.16,Axis
201,55366.81,0.3085,0.0678,2237.21,17080.66,3753.87,11089.58,ICICI
202,58411.77,0.3165,0.0189,5888.59,18487.33,1103.98,11494.76,SBI
203,66245.77,0.3213,0.0405,2032.99,21284.77,2682.95,16568.83,HDFC
204,65807.03,0.3382,0.0527,5782.38,22255.94,3468.03,13005.53,HDFC
205,29334.96,0.2871,0.0573,4192.19,8422.07,1680.89,2548.99,Axis
206,35932.62,0.2575,0.0587,4809.78,9252.65,2109.24,2333.63,SBI
207,57725.53,0.3458,0.061,2748.53,19961.49,3521.26,13691.7,Kotak
208,57706.79,0.2935,0.0556,4616.85,16936.94,3208.5,9111.59,SBI
209,57725.72,0.3123,0.0166,5527.83,18027.74,958.25,11541.66,Axis
210,107790.97,0.3166,0.0587,2557.92,34126.62,6327.33,25241.37,Axis
211,58563.36,0.3047,0.0607,2508.33,17844.26,3554.8,11781.13,SBI
212,67033.48,0.2705,0.0795,3215.91,18132.56,5329.16,9587.49,Axis
213,64310.03,0.3255,0.0585,2646.9,20932.91,3762.14,14523.87,SBI
214,59770.87,0.3304,0.0581,2442.58,19748.3,3472.69,13833.03,ICICI
215,45270.96,0.3053,0.046,4713.28,13821.22,2082.46,7025.48,SBI
216,61384.54,0.2989,0.0708,2855.31,18347.84,4346.03,11146.5,SBI
217,38407.62,0.2614,0.0798,4668.06,10039.75,3064.93,2306.76,Axis
218,46447.72,0.2584,0.0645,5447.72,12002.09,2995.88,3558.49,Axis
219,42719.55,0.284,0.0529,4608.1,12132.35,2259.86,5264.39,HDFC
220,51228.11,0.2811,0.0155,2477.47,14400.22,794.04,11128.71,HDFC
221,84719.88,0.3454,0.0609,4294.31,29262.25,5159.44,19808.5,ICICI
222,21991.02,0.3284,0.0596,3574.51,7221.85,1310.66,2336.68,HDFC
223,60293.9,0.316,0.0643,3373.48,19052.87,3876.9,11802.49,SBI
224,25809.26,0.3018,0.0187,3274.13,7789.23,482.63,4032.47,Axis
225,42921.02,0.2667,0.0558,5717.73,11447.04,2394.99,3334.32,HDFC
226,66334.26,0.3478,0.0307,4970.03,23071.06,2036.46,16064.57,HDFC
227,50964.2,0.2875,0.0632,2535.4,14652.21,3220.94,8895.87,ICICI
228,33833.83,0.2607,0.0268,3904.02,8820.48,906.75,4009.71,ICICI
229,39270.44,0.2994,0.0579,3272.89,11757.57,2273.76,6210.92,SBI
230,60193.97,0.3374,0.0306,5911.75,20309.45,1841.94,12555.76,Axis
231,39044.5,0.3387,0.0106,5912.12,13224.37,413.87,6898.38,ICICI
232,53246.88,0.2511,0.0543,3278.14,13370.29,2891.31,7200.84,HDFC
233,50683.58,0.3386,0.0179,3408.45,17161.46,907.24,12845.77,Axis
234,40225.99,0.2771,0.0562,4397.66,11146.62,2260.7,4488.26,Axis
235,82159.16,0.2539,0.0748,3917.23,20860.21,6145.51,10797.47,HDFC
236,59508.79,0.3348,0.0778,2852.4,19923.54,4629.78,12441.36,ICICI
237,19622.86,0.3364,0.0265,4641.65,6601.13,520.01,1439.47,HDFC
238,52796.81,0.3096,0.0666,3336.51,16345.89,3516.27,9493.11,Axis
239,40073.2,0.3074,0.0347,4614.87,12318.5,1390.54,6313.09,Kotak
240,62786.5,0.3313,0.073,3534.73,20801.17,4583.41,12683.03,Kotak
241,38112.19,0.3286,0.0651,4800.84,12523.67,2481.1,5241.73,SBI
242,48278.95,0.339,0.0152,4671.2,16366.56,733.84,10961.52,HDFC
243,57574.81,0.3053,0.0385,4035.25,17577.59,2216.63,11325.71,HDFC
244,62986.33,0.3468,0.0336,4818.96,21843.66,2116.34,14908.36,SBI
245,31995.55,0.3496,0.065,3843.86,11185.64,2079.71,5262.07,SBI
246,44982.48,0.2617,0.0387,2464.55,11771.92,1740.82,7566.55,SBI
247,42875.82,0.335,0.0579,2728.43,14363.4,2482.51,9152.46,Axis
248,40200.06,0.3,0.0522,2983.97,12060.02,2098.44,6977.61,HDFC
249,76481.81,0.2888,0.0783,2252.92,22087.95,5988.53,13846.5,Axis
250,56074.73,0.3113,0.0756,4845.52,17456.06,4239.25,8371.29,SBI
251,31086.74,0.2556,0.0399,3469.56,7945.77,1240.36,3235.85,HDFC
252,63767.93,0.3006,0.0607,2374.09,19168.64,3870.71,12923.84,Axis
253,81832.34,0.3371,0.0681,5279.83,27585.68,5572.78,16733.07,Axis
254,65486.98,0.2713,0.0729,4734.62,17766.62,4774,8258,SBI
255,27209.45,0.2926,0.0148,3808.9,7961.49,402.7,3749.89,HDFC
256,42736.49,0.3439,0.0311,2989.7,14697.08,1329.1,10378.28,SBI
257,69003.67,0.2929,0.0324,2606.98,20211.17,2235.72,15368.47,HDFC
258,39384.96,0.2858,0.0404,3833.5,11256.22,1591.15,5831.57,Kotak
259,56657.29,0.2941,0.0218,5540.98,16662.91,1235.13,9886.8,ICICI
260,61619.51,0.3019,0.0447,2753.58,18602.93,2754.39,13094.96,ICICI
261,36096.04,0.3132,0.0564,4274.64,11305.28,2035.82,4994.82,ICICI
262,49107.12,0.3301,0.0448,5846.74,16210.26,2200,8163.52,SBI
263,1380.99,0.2952,0.0566,4548.47,407.67,78.16,-4218.96,Kotak
264,34634.19,0.3317,0.0147,3759.86,11488.16,509.12,7219.18,HDFC
265,46211.48,0.3034,0.0713,4865.49,14020.56,3294.88,5860.19,Axis
266,31283.25,0.2838,0.0757,5298.31,8878.19,2368.14,1211.74,HDFC
267,74486.17,0.3158,0.0533,4362.07,23522.73,3970.11,15190.55,Axis
268,28547.88,0.3218,0.0717,5487.33,9186.71,2046.88,1652.5,HDFC
269,43399.33,0.3058,0.0192,4058.37,13271.52,833.27,8379.88,Kotak
270,51961.11,0.2557,0.0658,5320.12,13286.46,3419.04,4547.3,Axis
271,71619.1,0.267,0.0183,5808.08,19122.3,1310.63,12003.59,SBI
272,28462.07,0.2785,0.0386,4004.97,7926.69,1098.64,2823.08,HDFC
273,67447.46,0.2783,0.0327,4420.01,18770.63,2205.53,12145.09,HDFC
274,50153.5,0.3173,0.051,4437.87,15913.71,2557.83,8918.01,Axis
275,35277.37,0.2518,0.0311,5125.74,8882.84,1097.13,2659.97,SBI
276,56931.55,0.3256,0.0546,5291.86,18536.91,3108.46,10136.59,SBI
277,52985.9,0.2765,0.0357,2108.92,14650.6,1891.6,10650.08,Kotak
278,40996.75,0.281,0.0703,4933.44,11520.09,2882.07,3704.58,SBI
279,51047.03,0.3028,0.0544,5135.26,15457.04,2776.96,7544.82,SBI
280,44220.3,0.2716,0.0251,4801.72,12010.23,1109.93,6098.58,SBI
281,51702.76,0.3384,0.0335,4854.78,17496.21,1732.04,10909.39,ICICI
282,59931.96,0.2585,0.0693,2165.61,15492.41,4153.28,9173.52,Kotak
283,73790.25,0.2944,0.0371,3768.15,21723.85,2737.62,15218.08,HDFC
284,31432.77,0.3349,0.0475,5272.72,10526.83,1493.06,3761.05,Axis
285,81995.5,0.3116,0.0554,5736.03,25549.8,4542.55,15271.22,HDFC
286,20718.68,0.2792,0.0343,2917.87,5784.66,710.65,2156.14,Kotak
287,47723.22,0.2921,0.0306,4316.78,13939.95,1460.33,8162.84,Axis
288,58824.76,0.3207,0.0433,5217.32,18865.1,2547.11,11100.67,Kotak
289,54214.88,0.3473,0.025,5009.63,18828.83,1355.37,12463.83,SBI
290,40659.51,0.3393,0.0299,4475.56,13795.77,1215.72,8104.49,Axis
291,46878.17,0.2842,0.0143,2074.76,13322.78,670.36,10577.66,SBI
292,42604.99,0.3498,0.0313,4895.54,14903.23,1333.54,8674.15,HDFC
293,41159.53,0.2504,0.0324,5092.97,10306.35,1333.57,3879.81,HDFC
294,62744.03,0.2528,0.0773,4891.4,15861.69,4850.11,6120.18,Axis
295,55355.23,0.3324,0.0513,5063.24,18400.08,2839.72,10497.12,Axis
296,39606.36,0.2699,0.0651,3723.66,10689.76,2578.37,4387.73,Kotak
297,63494,0.2561,0.0132,5975.01,16260.81,838.12,9447.68,Kotak
298,54609.49,0.2737,0.0175,5083.15,14946.62,955.67,8907.8,SBI
299,62192.93,0.2926,0.067,4314.72,18197.65,4166.93,9716,Axis
300,59444.43,0.3231,0.0536,5736.77,19206.5,3186.22,10283.51,HDFC
301,37565.07,0.3124,0.0234,5632.79,11735.33,879.02,5223.52,Kotak
302,41597.28,0.2738,0.0383,5258.27,11389.34,1593.18,4537.89,Kotak
303,61209.4,0.3003,0.0477,4254.78,18381.18,2919.69,11206.71,HDFC
304,59155.55,0.3426,0.0691,4108.4,20266.69,4087.65,12070.64,Kotak
305,49686.48,0.3315,0.0142,3314.83,16471.07,705.55,12450.69,SBI
306,51759.91,0.2823,0.0518,3003.51,14611.82,2681.16,8927.15,Axis
307,69164.97,0.3482,0.0602,4049.44,24083.24,4163.73,15870.07,HDFC
308,41126.43,0.3209,0.0785,4311.13,13197.47,3228.42,5657.92,Axis
309,58206.46,0.2562,0.0665,2978.11,14912.5,3870.73,8063.66,Kotak
310,46967.11,0.2535,0.0293,5690.4,11906.16,1376.14,4839.62,Kotak
311,46734.78,0.2668,0.0597,4229.1,12468.84,2790.07,5449.67,HDFC
312,66481.65,0.3228,0.0634,4106.02,21460.28,4214.94,13139.32,SBI
313,62381.25,0.2684,0.0611,3742.55,16743.13,3811.49,9189.09,ICICI
314,62202.64,0.3011,0.0674,2232.29,18729.21,4192.46,12304.46,HDFC
315,69582.18,0.2593,0.0733,5529.61,18042.66,5100.37,7412.68,ICICI
316,50315.06,0.3421,0.0169,3267.98,17212.78,850.32,13094.48,ICICI
317,60229.29,0.2844,0.0173,4569.84,17129.21,1041.97,11517.4,SBI
318,45346,0.3408,0.0657,4429.73,15453.92,2979.23,8044.96,ICICI
319,54862.5,0.3445,0.0277,4337.95,18900.13,1519.69,13042.49,ICICI
320,48047.85,0.2506,0.0141,4102.85,12040.79,677.47,7260.47,SBI
321,51454.94,0.2964,0.0381,2725.76,15251.24,1960.43,10565.05,ICICI
322,58927.36,0.2525,0.0674,3122.42,14879.16,3971.7,7785.04,ICICI
323,37726.69,0.3409,0.0189,4096.75,12861.03,713.03,8051.25,ICICI
324,81385.81,0.3018,0.057,5157.37,24562.24,4638.99,14765.88,HDFC
325,34909.74,0.2575,0.0103,3727.96,8989.26,359.57,4901.73,HDFC
326,31787.17,0.261,0.0177,2815.69,8296.45,562.63,4918.13,HDFC
327,67371.66,0.2884,0.0346,2351.78,19429.99,2331.06,14747.15,SBI
328,61874.94,0.344,0.0159,4652.04,21284.98,983.81,15649.13,Kotak
329,59361.8,0.3193,0.0692,3693.36,18954.22,4107.84,11153.02,ICICI
330,59425.18,0.3368,0.0705,2501.48,20014.4,4189.48,13323.44,ICICI
331,49816.3,0.2866,0.0629,4697.87,14277.35,3133.45,6446.03,SBI
332,36541.18,0.2543,0.027,2830.31,9292.42,986.61,5475.5,ICICI
333,51137.07,0.3474,0.0466,4036.06,17765.02,2382.99,11345.97,HDFC
334,39842.57,0.2517,0.0229,3224.75,10028.37,912.39,5891.23,Kotak
335,64626.8,0.3448,0.0297,5726.76,22283.32,1919.42,14637.14,Axis
336,47794.14,0.2869,0.0461,2913.15,13712.14,2203.31,8595.68,ICICI
337,37617.54,0.251,0.0615,3679.67,9442,2313.48,3448.85,HDFC
338,45179.21,0.3189,0.0166,5837.97,14407.65,749.97,7819.71,Axis
